,Address,Price,Beds,Baths,Area_Sqft,City,Zipcode,Time_on_Redfin(days),Property Type,Year_built,Community,Lot_Size_Sqft,Est_Monthly_Payt,Est_Redfin_Price,Price/Sq.Ft.,Buyer_Agent_Commission,HOA_Dues,Style
359,"7175 Glenview Dr,San Jose, CA 95120",4699000,5,4.5,5558,San Jose,95120,11,Single Family Residential,2003,ALMADEN VALLEY,33105,34261,4633607,845,2,130,Contemporary
360,"2795 Garden Ave,SAN JOSE, CA 95111",2188888,8,4,3680,San Jose,95111,11,Fourplex,1986,SAN JOSE,8189,15899,2162735,595,2,0,Unknown
361,"165 Blossom Hill Rd #22,SAN JOSE, CA 95123",428888,3,2,1344,San Jose,95123,11,Double-Wide Mobile Home,1998,SAN JOSE,29160,3115,428571,319,3,0,Unknown
362,"6544 Little Falls Dr,SAN JOSE, CA 95120",2378999,4,2.5,2364,San Jose,95120,11,Single Family Home,1965,SAN JOSE,10610,17280,2398745,1006,2,0,Unknown
363,"3064 Lantz Ave,SAN JOSE, CA 95124",1598000,3,2,1303,San Jose,95124,11,Single Family Home,1949,SAN JOSE,7169,11607,1688421,1226,2,0,Unknown
364,"2226 Alexian Dr,SAN JOSE, CA 95116",498000,2,2,976,San Jose,95116,11,Condo,1985,SAN JOSE,29160,4092,521969,510,2,475,Contemporary
365,"195 Blossom Hill Rd #210,SAN JOSE, CA 95123",359950,3,2,1567,San Jose,95123,11,Double-Wide Mobile Home,2015,SAN JOSE,29160,2614,361784,230,3,0,Unknown
366,"3611 Ethan Ct,SAN JOSE, CA 95136",1460000,4,2.5,1954,San Jose,95136,11,Single Family Home,1974,SAN JOSE,5808,10605,1473629,747,2,0,Unknown
367,"1531 Johnson Ave,SAN JOSE, CA 95129",2299888,3,2,1666,San Jose,95129,11,Single Family Home,1968,SAN JOSE,5954,16705,1469274,1380,2,0,Unknown
368,"4639 Smoke River Ct,SAN JOSE, CA 95136",899000,3,2.5,1441,San Jose,95136,11,Townhouse,1977,SAN JOSE,1606,7042,914327,624,2,512,Unknown
369,"922 Gaspar Vis,SAN JOSE, CA 95126",1200000,4,4,1930,San Jose,95126,11,Townhouse,2009,SAN JOSE,984,9034,1259539,622,2,318,Modern/High Tech
370,"6166 Iowa Dr,SAN JOSE, CA 95123",1399000,4,2,1495,San Jose,95123,12,Single Family Home,1968,SAN JOSE,6382,10162,1522710,936,2,0,Unknown
371,"847 Berryessa Rd,SAN JOSE, CA 95112",890000,4,4,1660,San Jose,95112,11,Townhouse,2009,SAN JOSE,741,6736,963676,536,2,272,Contemporary
372,"872 E Saint James St,SAN JOSE, CA 95112",1249950,3,2,1713,San Jose,95112,11,Single Family Home,1930,SAN JOSE,4064,9079,1291873,730,2,0,Unknown
373,"4993 Grimsby Dr,SAN JOSE, CA 95130",2248000,4,2.5,1955,San Jose,95130,11,Single Family Home,1965,SAN JOSE,5636,16328,2358286,1150,2,0,Unknown
374,"706 Avenue One,San Jose, CA 95123",1138000,3,3.5,1712,San Jose,95123,11,Condo,2016,San Jose,1153,8656,1469274,665,2,390,Unknown
375,"1743 El Codo Way,SAN JOSE, CA 95124",2500000,5,2.5,2423,San Jose,95124,11,Single Family Home,1963,SAN JOSE,7906,18159,2561163,1032,2,0,Unknown
376,"5379 Cribari Crst,San Jose, CA 95135",485880,2,2,1240,San Jose,95135,11,Condo,1969,San Jose,29160,4495,486637,392,2,966,Contemporary
377,"2217 S King Rd,SAN JOSE, CA 95122",998000,4,2,1352,San Jose,95122,11,Single Family Home,1968,SAN JOSE,5562,7249,998659,738,2,0,Unknown
378,"1059 Villa Maria Ct,SAN JOSE, CA 95125",998000,3,2.5,1585,San Jose,95125,12,Townhouse,1982,SAN JOSE,1300,7849,1065869,630,2,600,Unknown
379,"357 Blossom Hill Rd #4,SAN JOSE, CA 95123",534888,2,1,798,San Jose,95123,12,Condo,1970,SAN JOSE,29160,4274,538006,670,2,389,Unknown
380,"10080 Judy Ave,CUPERTINO, CA 95014",4850000,5,4.5,3779,San Jose,95014,12,Single Family Home,2023,CUPERTINO,9375,35228,4746477,1283,2,0,Contemporary
381,"825 N 17th St,SAN JOSE, CA 95112",720000,2,1,780,San Jose,95112,12,Single Family Home,1953,SAN JOSE,6029,5230,1469274,923,2,0,Unknown
382,"1648 Tierra Buena Dr,SAN JOSE, CA 95121",950000,3,2,1204,San Jose,95121,12,Single Family Home,1963,SAN JOSE,5175,6900,987006,789,2,0,Unknown
383,"3071 Wall St,San Jose, CA 95111",900000,3,2,1296,San Jose,95111,12,Single Family Residential,1940,San Jose,8024,6537,901700,694,2,0,Unknown
384,"918 Foothill Dr,SAN JOSE, CA 95123",1895000,4,2.5,2124,San Jose,95123,12,Single Family Home,1968,SAN JOSE,11761,13764,1900181,892,2,0,Unknown
385,"88 Donna Adelle Ct,SAN JOSE, CA 95127",1599900,4,2.5,2234,San Jose,95127,12,Single Family Home,2005,SAN JOSE,7492,11621,1676765,716,2,0,"Craftsman, Custom"
386,"7720 Kilmarnok Dr,SAN JOSE, CA 95135",825000,2,2,1490,San Jose,95135,12,Condo,1989,SAN JOSE,29160,7230,823229,554,2,1238,Traditional
387,"5711 Makati Cir Unit G,SAN JOSE, CA 95123",480000,1,1,543,San Jose,95123,12,Condo,1982,SAN JOSE,29160,4043,480989,884,2,557,Contemporary
388,"1261 Kaylene Ct,SAN JOSE, CA 95127",1698800,4,2.5,2585,San Jose,95127,12,Single Family Home,1987,SAN JOSE,16988,12339,1694179,657,2,0,Unknown
389,"3283 Lindenoaks Dr,SAN JOSE, CA 95117",1598000,4,2,1400,San Jose,95117,12,Single Family Home,1956,SAN JOSE,6881,11607,1733161,1141,2,0,Unknown
390,"423 N 2nd St #136,SAN JOSE, CA 95112",578000,1,1,730,San Jose,95112,12,Condo,1994,SAN JOSE,29160,4711,581692,792,2,513,Unknown
391,"46 W Julian St #431,SAN JOSE, CA 95110",899000,2,2,1596,San Jose,95110,12,Condo,2004,SAN JOSE,29160,7260,910482,563,2,730,Unknown
392,"3338 Kimber Ct #7,SAN JOSE, CA 95124",639000,2,1,886,San Jose,95124,12,Condo,1977,SAN JOSE,29160,5006,644915,721,2,365,Unknown
393,"7622 Stoneshire Ct,SAN JOSE, CA 95135",950000,2,2,1509,San Jose,95135,12,Condo,1988,SAN JOSE,29160,8001,951043,630,2,1101,Unknown
394,"529 Columbia Ave,SAN JOSE, CA 95126",999800,4,1,1716,San Jose,95126,12,Single Family Home,1910,SAN JOSE,5000,7262,998985,583,2,0,Other (See Remarks)
395,"5935 Flash Ct,SAN JOSE, CA 95119",975900,2,2,1404,San Jose,95119,12,Condo,2023,SAN JOSE,29160,7528,973120,695,1,440,Contemporary
396,"3041 Harvestwood Ct,SAN JOSE, CA 95148",1750000,5,3,2253,San Jose,95148,12,Single Family Home,1976,SAN JOSE,7000,12711,1755163,777,2,0,Unknown
397,"818 N 13th St,SAN JOSE, CA 95112",1118000,3,1,1316,San Jose,95112,12,Single Family Home,1910,SAN JOSE,5404,8121,1123488,850,2,0,Unknown
398,"461 Northlake Dr #25,SAN JOSE, CA 95117",998000,3,2.5,1626,San Jose,95117,13,Townhouse,1985,SAN JOSE,877,7746,1084213,614,2,497,Unknown
399,"1425 Taper Ct,SAN JOSE, CA 95122",988888,4,2,1329,San Jose,95122,13,Single Family Home,1974,SAN JOSE,2600,7183,1004490,744,2,0,"Ranch, Other (See Remarks)"
400,"5258 Cribari Hts,SAN JOSE, CA 95135",499000,2,1,947,San Jose,95135,13,Condo,1969,SAN JOSE,29160,4454,501041,527,2,830,Unknown
401,"21951 Shillingsburg Ave,SAN JOSE, CA 95120",1850000,2,1,1600,San Jose,95120,13,Single Family Home,1976,SAN JOSE,232610,13437,1857715,1156,2,0,Unknown
402,"328 El Portal Way,San Jose, CA 95119",1550000,4,2,2212,San Jose,95119,13,Single Family Residential,1968,ALMADEN,8190,11298,1554790,701,2,40,Unknown
403,"1055 N Capitol Ave #52,SAN JOSE, CA 95133",636000,2,2,832,San Jose,95133,14,Condo,1981,SAN JOSE,29160,5154,640569,764,2,534,Unknown
404,"1812 Dry Creek Rd,SAN JOSE, CA 95124",3100000,4,2.5,2754,San Jose,95124,14,Single Family Home,1977,SAN JOSE,18295,22517,3169023,1126,2,0,Unknown
405,"17 Deer Run Cir,SAN JOSE, CA 95136",880888,2,2.5,1196,San Jose,95136,15,Townhouse,1988,SAN JOSE,1513,6753,927446,737,2,355,Contemporary
406,"1313 Michigan Ave,Alviso, CA 95002",1250000,5,3,1630,San Jose,95002,15,Single Family Residential,1940,Alviso,6107,9079,1244272,767,2,0,Unknown
407,"2451 Cory Ave,SAN JOSE, CA 95128",899999,3,1,1040,San Jose,95128,15,Single Family Home,1950,SAN JOSE,7230,6537,979127,865,2,0,Unknown
408,"88 E San Fernando St #1702,SAN JOSE, CA 95113",999000,2,2,1224,San Jose,95113,15,Condo,2008,SAN JOSE,29160,8265,999835,816,2,1009,Unknown
409,"182 S Morrison Ave,SAN JOSE, CA 95126",1649999,4,2.5,2085,San Jose,95126,15,Single Family Home,1942,SAN JOSE,6283,11985,1660686,791,2,0,Ranch
410,"816 Opal Dr,SAN JOSE, CA 95117",1780000,7,4,2686,San Jose,95117,15,Fourplex,1960,SAN JOSE,7359,12929,1785105,663,2,0,Unknown
411,"25 S 3rd St #411,SAN JOSE, CA 95113",585000,1,1,692,San Jose,95113,15,Condo,2007,SAN JOSE,29160,4740,586015,845,2,491,Unknown
412,"700 Adeline Ave,SAN JOSE, CA 95136",1388000,4,3.5,2209,San Jose,95136,15,Townhouse,2005,SAN JOSE,871,10392,1392309,628,2,310,Unknown
413,"5486 Spinnaker Walkway #2,SAN JOSE, CA 95123",534000,2,1,903,San Jose,95123,16,Condo,1969,SAN JOSE,3036,4299,535527,591,2,420,Unknown
414,"3205 Napa Ct,SAN JOSE, CA 95148",1350000,4,2,1200,San Jose,95148,16,Single Family Home,1971,SAN JOSE,8621,9806,1363382,1125,2,0,Unknown
415,"2723 Westgate,SAN JOSE, CA 95125",2188000,4,3,1755,San Jose,95125,16,Single Family Home,1955,SAN JOSE,6988,15892,2184997,1247,2,0,Unknown
416,"836 Las Palmas Way,SAN JOSE, CA 95133",1198000,3,2.5,1566,San Jose,95133,16,Single Family Home,1997,SAN JOSE,3486,8802,1307665,765,2,100,Unknown
417,"110 Graham Ave,SAN JOSE, CA 95110",4600000,22,16,10300,San Jose,95110,16,5+ Units,1950,SAN JOSE,13939,33412,1469274,447,2,0,Unknown
418,"1232 Normandy Way,SANTA CLARA, CA 95050",1498000,4,2,1857,San Jose,95050,16,Duplex,1959,SANTA CLARA,6964,10881,1496464,807,2,0,Unknown
419,"766 Warring Dr #4,SAN JOSE, CA 95123",520000,2,1,798,San Jose,95123,16,Condo,1970,SAN JOSE,29160,4237,525530,652,2,460,Unknown
420,"88 E San Fernando St #2002,SAN JOSE, CA 95113",1029000,2,2,1224,San Jose,95113,16,Condo,2008,SAN JOSE,29160,8483,1021972,841,2,1009,Unknown
421,"1719 Harmil Way,SAN JOSE, CA 95125",1849000,4,2.5,2266,San Jose,95125,16,Single Family Home,1938,SAN JOSE,5756,13430,1921062,816,2,0,Unknown
422,"105 S 15th St,SAN JOSE, CA 95112",1599000,3,2,2005,San Jose,95112,16,Single Family Home,1922,SAN JOSE,6863,11614,1569818,798,2,0,Craftsman
423,"Sign In for Address,SAN JOSE, CA 95127",1099800,3,2.5,1841,San Jose,95127,16,Single Family Home,1999,SAN JOSE,2613,8144,1104702,597,2,156,Unknown
424,"2859 S Bascom Ave #305,CAMPBELL, CA 95008",695000,2,2,841,San Jose,95008,16,Condo,1984,CAMPBELL,29160,5528,702727,826,2,480,Unknown
425,"3362 Mount Logan Dr,SAN JOSE, CA 95127",908888,3,2,1198,San Jose,95127,16,Single Family Home,1960,SAN JOSE,5388,6602,9909603,759,2,0,Unknown
426,"4262 Meg Dr,SAN JOSE, CA 95136",1375000,3,2,1424,San Jose,95136,16,Single Family Home,1969,SAN JOSE,9596,9987,1389007,966,2,0,Ranch
427,"4681 Albany Cir #132,SAN JOSE, CA 95129",588000,1,1,813,San Jose,95129,16,Condo,1982,SAN JOSE,29160,4829,589726,723,2,558,Unknown
428,"543 Wagman Dr,SAN JOSE, CA 95129",2388000,4,2,1655,San Jose,95129,17,Single Family Home,1965,SAN JOSE,6514,17345,2394928,1443,2,0,Ranch
429,"1690 Cedarcreek Dr,SAN JOSE, CA 95121",849900,3,2.5,1360,San Jose,95121,17,Condo,1979,SAN JOSE,1400,6508,858030,625,2,335,Unknown
430,"2984 Jayhawkers Pl #4,SAN JOSE, CA 95136",1099950,3,2,1256,San Jose,95136,17,Condo,2020,SAN JOSE,29160,8620,1105716,876,2,631,Unknown
431,"3505 La Terrace Cir,SAN JOSE, CA 95123",535000,1,1,650,San Jose,95123,17,Condo,1985,SAN JOSE,2969,4431,539423,823,2,545,Unknown
432,"3593 S Bascom Ave #20,CAMPBELL, CA 95008",575000,1,1,742,San Jose,95008,17,Condo,1984,CAMPBELL,29160,4575,576417,775,2,399,Unknown
433,"800 N 8th St #120,SAN JOSE, CA 95112",829000,2,2,1214,San Jose,95112,17,Condo,2004,SAN JOSE,29160,6691,826897,683,2,670,Modern/High Tech
434,"46 Raindance Ct,SAN JOSE, CA 95136",950000,3,2.5,1452,San Jose,95136,17,Townhouse,1988,SAN JOSE,1134,7255,974642,654,2,355,Unknown
435,"1037 Keltner Ave,SAN JOSE, CA 95117",1498000,4,2,1236,San Jose,95117,17,Single Family Home,1958,SAN JOSE,6613,10881,1677826,1212,2,0,Unknown
436,"1145 Miller Ave,SAN JOSE, CA 95129",2798000,5,3.5,2261,San Jose,95129,17,Single Family Home,1959,SAN JOSE,6746,20323,2841419,1238,2,0,Traditional
437,"15390 Charmeran Ave,SAN JOSE, CA 95124",3195000,4,3.5,2616,San Jose,95124,17,Single Family Home,2023,SAN JOSE,8006,23207,3190222,1221,2,0,Cape Cod
438,"3168 Matzley Ct,SAN JOSE, CA 95124",1475000,3,2,1248,San Jose,95124,17,Single Family Home,1960,SAN JOSE,10890,10714,1486150,1182,2,0,Ranch
439,"870 Cinnabar St,SAN JOSE, CA 95126",749000,2,1,720,San Jose,95126,18,Single Family Home,1900,SAN JOSE,3997,5440,795938,1040,2,0,Bungalow
440,"5561 Southcrest Way,San Jose, CA 95123",1399000,3,2.5,1682,San Jose,95123,18,Single Family Residential,2012,San Jose,3034,10317,1540007,832,2,155,Unknown
441,"1032 Sinbad Ave,SAN JOSE, CA 95116",839900,2,1,776,San Jose,95116,18,Single Family Home,1959,SAN JOSE,4883,6101,847750,1082,2,0,Unknown
442,"6104 Maree Ct,SAN JOSE, CA 95123",1255000,4,2,1400,San Jose,95123,18,Single Family Home,1970,SAN JOSE,7530,9116,1262656,896,2,0,Unknown
443,"2197 Summerton Dr,SAN JOSE, CA 95122",599000,2,2.5,1052,San Jose,95122,18,Condo,1985,SAN JOSE,29160,4986,614245,569,2,635,Unknown
444,"7244 Wild Creek Dr,SAN JOSE, CA 95120",1300000,3,2.5,1470,San Jose,95120,18,Single Family Home,1985,SAN JOSE,2333,9514,1338187,884,2,72,Traditional
445,"493 Curie Dr,SAN JOSE, CA 95123",1249000,3,2,1412,San Jose,95123,18,Single Family Home,1969,SAN JOSE,5590,9072,1231872,885,2,0,Unknown
446,"5967 Flash Ct,SAN JOSE, CA 95119",964900,2,2.5,1355,San Jose,95119,18,Condo,2023,SAN JOSE,29160,7408,957622,712,1,400,Contemporary
447,"2988 Grassina St #219,SAN JOSE, CA 95136",948888,3,2,1405,San Jose,95136,18,Condo,2006,SAN JOSE,29160,7496,966119,675,2,604,Unknown
448,"3901 Lick Mill Blvd #112,Santa Clara, CA 95054",725000,1,1,900,San Jose,95054,18,Condo,2005,San Jose,900,5680,724709,806,2,414,Contemporary
449,"2974 Neal Ave,SAN JOSE, CA 95128",1599000,3,2,1591,San Jose,95128,18,Single Family Home,1956,SAN JOSE,10759,11614,1613245,1005,2,0,"Cottage, Farm House, Flat"
450,"2210 Laurelei Ave,SAN JOSE, CA 95128",1799000,4,2.5,2105,San Jose,95128,18,Single Family Home,1960,SAN JOSE,10189,13067,1792369,855,2,0,Ranch
451,"809 Auzerais Ave #149,SAN JOSE, CA 95126",849000,2,2,1229,San Jose,95126,18,Condo,2008,SAN JOSE,1556,6748,847979,691,2,581,Unknown
452,"5152 Felter Rd,SAN JOSE, CA 95132",2090000,5,3,3000,San Jose,95132,18,Single Family Home,1960,SAN JOSE,99752,15181,2094650,697,2,0,"Ranch, Traditional"
453,"1882 Winding Creek Ct,SAN JOSE, CA 95148",839000,2,2.5,1473,San Jose,95148,18,Townhouse,1984,SAN JOSE,1974,6560,1469274,570,2,466,Unknown
454,"801 Winchester Blvd #1208,SAN JOSE, CA 95128",825000,2,2,990,San Jose,95128,18,Condo,2005,SAN JOSE,1205,6391,848328,833,2,399,Unknown
455,"1555 Mission Springs Cir,San Jose, CA 95131",1600000,4,2.5,1768,San Jose,95131,19,Single Family Residential,1997,San Jose,3500,11622,1469274,905,2,0,Unknown
456,"5601 Drysdale Dr,SAN JOSE, CA 95124",1888000,4,2,1410,San Jose,95124,19,Single Family Home,1960,SAN JOSE,6349,13713,1895556,1339,2,0,Unknown
457,"4274 Colombo Dr,San Jose, CA 95130",1930000,3,2,1505,San Jose,95130,19,Single Family Residential,1960,W.SAN JOSE,8625,14018,1939256,1282,2,0,Contemporary
458,"3479 Nova Scotia Ave,SAN JOSE, CA 95124",1399000,3,2.5,1820,San Jose,95124,19,Single Family Home,1979,SAN JOSE,3049,10162,1452316,769,2,0,Unknown
459,"2135 Little Orchard St #78,SAN JOSE, CA 95125",415000,3,2,960,San Jose,95125,19,Double-Wide Mobile Home,2015,SAN JOSE,29160,3014,411023,432,2,0,Unknown
460,"1437 Gerhardt Ave,SAN JOSE, CA 95125",3390000,5,4.5,3487,San Jose,95125,19,Single Family Home,2023,SAN JOSE,7560,24623,3354196,972,2,0,"Farm House, Modern/High Tech"
461,"444 Josefa St,SAN JOSE, CA 95126",600000,2,2,722,San Jose,95126,19,Single Family Home,1900,SAN JOSE,4511,4358,622138,831,2,0,Unknown
462,"5010 Narvaez Ave,SAN JOSE, CA 95136",1895000,4,3,2515,San Jose,95136,19,Single Family Home,2002,SAN JOSE,11325,13764,1897990,753,2,0,Mediterranean
463,"564 Giant Way,SAN JOSE, CA 95127",1678900,4,3,3177,San Jose,95127,19,Single Family Home,1955,SAN JOSE,11761,12195,1691347,528,2,0,Ranch
464,"1476 Curtner Ave,SAN JOSE, CA 95125",1690000,4,4,2475,San Jose,95125,20,Duplex,1972,SAN JOSE,8970,12275,1674328,683,2,0,Unknown
465,"5079 Ella Ct,SAN JOSE, CA 95111",987777,3,2,1125,San Jose,95111,20,Single Family Home,1962,SAN JOSE,5803,7175,1014856,878,2,0,Unknown
466,"3762 Jasmine Cir,SAN JOSE, CA 95135",1250000,3,2.5,1346,San Jose,95135,20,Townhouse,1999,SAN JOSE,5091,9334,1255084,929,3,255,Unknown
467,"563 Shadow Dance Dr,SAN JOSE, CA 95125",599000,2,2,871,San Jose,95125,20,Condo,1987,SAN JOSE,871,4731,600850,688,2,380,Unknown
468,"4943 Zeppelin Ct,SAN JOSE, CA 95111",1450000,4,2.5,1954,San Jose,95111,21,Single Family Home,1976,SAN JOSE,6720,10532,1468853,742,2,0,Contemporary
469,"404 N 6th St,San Jose, CA 95112",800550,2,1,1248,San Jose,95112,21,Single Family Residential,1918,San Jose,5567,5815,799761,641,2,0,Unknown
470,"4585 Vanderbilt Dr,SAN JOSE, CA 95130",3498888,4,3.5,2853,San Jose,95130,22,Single Family Home,2023,SAN JOSE,6392,25414,3095876,1226,2,0,Unknown
471,"2443 Raleigh Dr,San Jose, CA 95124",2399000,4,2.5,2449,San Jose,95124,22,Single Family Residential,1964,WILLOW GLEN,9630,17488,2384422,980,2,63,Craftsman
472,"1368 Rimrock Dr,SAN JOSE, CA 95120",2498800,4,2.5,2544,San Jose,95120,22,Single Family Home,1970,SAN JOSE,16117,18150,2503541,982,2,0,"Ranch, Spanish"
473,"309 Tradewinds Dr #9,SAN JOSE, CA 95123",464900,1,1,722,San Jose,95123,22,Condo,1970,SAN JOSE,29160,3760,462119,644,2,383,Unknown
474,"860 S 8th St,SAN JOSE, CA 95112",1398800,5,3.5,2410,San Jose,95112,22,Single Family Home,1918,SAN JOSE,6348,10160,1394969,580,2,0,Unknown
475,"891 Georgetown Pl,San Jose, CA 95126",1249000,3,3,1625,San Jose,95126,22,Townhouse,2004,DOWNTOWN,814,9472,1255925,769,2,400,Contemporary
476,"247 N Capitol Ave #229,SAN JOSE, CA 95127",498888,1,1,777,San Jose,95127,22,Condo,1977,SAN JOSE,29160,4033,487708,642,2,409,Unknown
477,"1226 Coyote Creek Ct,SAN JOSE, CA 95116",605000,2,2,849,San Jose,95116,22,Condo,1984,SAN JOSE,29160,4722,604361,713,2,328,Unknown
478,"144 S 3rd St #536,SAN JOSE, CA 95112",799999,2,2,1421,San Jose,95112,22,Condo,1997,SAN JOSE,29160,6605,800433,563,2,794,Unknown
479,"2135 Little Orchard St #14,SAN JOSE, CA 95125",419900,2,2,1056,San Jose,95125,22,Double-Wide Mobile Home,2015,SAN JOSE,29160,3050,413101,398,2,0,Unknown
480,"1724 Dry Creek Rd,San Jose, CA 95125",8888888,10,11.5,19550,San Jose,95125,22,"Single Family, Residential Single-Family",2024,San Jose,16988,64564,8562570,455,3,0,Modern
481,"3591 Ivalynn Cir,SAN JOSE, CA 95132",850000,2,2.5,1123,San Jose,95132,22,Townhouse,1986,SAN JOSE,435,6639,862576,757,2,465,Unknown
482,"83 N King Rd,SAN JOSE, CA 95116",950000,3,1,1150,San Jose,95116,23,Single Family Home,1927,SAN JOSE,10182,6900,1008361,826,2,0,Unknown
483,"1711 Tustin Dr,SAN JOSE, CA 95122",1199888,4,2,1545,San Jose,95122,23,Single Family Home,1972,SAN JOSE,5632,8715,1211433,777,2,0,Unknown
484,"1837 Landess Ave,MILPITAS, CA 95035",825000,3,1.5,1155,San Jose,95035,23,Townhouse,1971,MILPITAS,788,6392,844847,714,2,400,Unknown
485,"923 Harliss Ave.,,SAN JOSE, CA 95110",1227000,5,3,1947,San Jose,95110,23,Duplex,1962,SAN JOSE,5204,8912,1225794,630,2,0,Unknown
486,"88 E San Fernando St #909,SAN JOSE, CA 95113",699000,1,1,899,San Jose,95113,23,Condo,2008,SAN JOSE,29160,6012,694704,778,2,935,Unknown
487,"649 Nordale Ave,SAN JOSE, CA 95112",1475000,6,5,3480,San Jose,95112,23,5+ Units,1962,SAN JOSE,6368,10714,1469274,424,4,0,Unknown
488,"5494 Cribari Bnd,SAN JOSE, CA 95135",490000,2,2,1223,San Jose,95135,23,Condo,1970,SAN JOSE,1546,4525,494024,401,2,966,Unknown
489,"1485 W San Carlos St,SAN JOSE, CA 95126",998000,3,2,1468,San Jose,95126,23,Townhouse,2008,SAN JOSE,809,7614,1008902,680,2,365,Unknown
490,"117 S 4th St,San Jose, CA 95112",875000,2,2.5,1458,San Jose,95112,23,Condo,1997,Not Listed,768,7138,873428,600,2,782,Contemporary
491,"Plan 1,San Jose, CA 95120",1527431,3,3.5,3669,San Jose,95120,0,Single Family Residential,Unknown,Almaden Heights,29160,18943,1469274,711,2,0,Unknown
492,"Plan 3,San Jose, CA 95120",1527431,4,3.5,3603,San Jose,95120,0,Single Family Residential,Unknown,Almaden Heights,29160,20577,1469274,786,2,0,Unknown
493,"Zinnia,Milpitas, CA 95035",1527431,3,3,1948,San Jose,95035,0,Townhouse,Unknown,Parkside at Tarob Court,29160,10619,1469274,751,2,0,Unknown
494,"Periwinkle,Milpitas, CA 95035",1527431,3,2.5,1948,San Jose,95035,0,Townhouse,Unknown,Parkside at Tarob Court,29160,10619,1469274,751,2,0,Unknown
495,"Violet,Milpitas, CA 95035",1527431,3,3,1475,San Jose,95035,0,Townhouse,Unknown,Parkside at Tarob Court,29160,8585,1469274,801,2,0,Unknown
496,"Peony,Milpitas, CA 95035",1527431,3,3,1769,San Jose,95035,0,Townhouse,Unknown,Parkside at Tarob Court,29160,9980,1469274,777,2,0,Unknown
497,"Hydrangea,Milpitas, CA 95035",1527431,3,3,1769,San Jose,95035,0,Townhouse,Unknown,Parkside at Tarob Court,29160,9980,1469274,777,2,0,Unknown
498,"Sunflower,Milpitas, CA 95035",1527431,3,2.5,1855,San Jose,95035,0,Townhouse,Unknown,Parkside at Tarob Court,29160,10176,1469274,755,2,0,Unknown
499,"Plan 3 INT,San Jose, CA 95117",1527431,3,2.5,1922,San Jose,95117,0,Condo,Unknown,Plaza at Central,29160,10641,1469274,762,2,0,Unknown
500,"Plan 3 EXT,San Jose, CA 95117",1527431,3,2.5,1964,San Jose,95117,0,Condo,Unknown,Plaza at Central,29160,10931,1469274,766,2,0,Unknown
501,"Plan 2,San Jose, CA 95117",1527431,3,3,1791,San Jose,95117,0,Condo,Unknown,Plaza at Central,29160,10023,1469274,771,2,0,Unknown
502,"Plan 1 INT,San Jose, CA 95117",1527431,3,2.5,1623,San Jose,95117,0,Condo,Unknown,Plaza at Central,29160,8840,1469274,750,2,0,Unknown
503,"Plan 1 EXT,San Jose, CA 95117",1527431,3,2.5,1661,San Jose,95117,0,Condo,Unknown,Plaza at Central,29160,9152,1469274,759,2,0,Unknown
504,"Plan 4,San Jose, CA 95117",1527431,3,2,1491,San Jose,95117,0,Condo,Unknown,Gateway at Central,29160,9297,1469274,858,2,0,Unknown
505,"Plan 3,San Jose, CA 95117",1527431,3,2,1443,San Jose,95117,0,Condo,Unknown,Gateway at Central,29160,9116,1469274,870,2,0,Unknown
506,"Plan 1,San Jose, CA 95117",1527431,2,2,1313,San Jose,95117,0,Condo,Unknown,Gateway at Central,29160,8026,1469274,842,2,0,Unknown
507,"Plan 1,Santa Clara, CA 95050",1527431,2,2,1413,San Jose,95050,0,Condo,Unknown,Anza at Agrihood,29160,9152,1469274,892,2,0,Unknown
508,"Plan 3,Santa Clara, CA 95050",1527431,2,2,1609,San Jose,95050,0,Condo,Unknown,Anza at Agrihood,29160,9515,1469274,814,2,0,Unknown
509,"Plan 2,Santa Clara, CA 95050",1527431,2,2.5,1577,San Jose,95050,0,Condo,Unknown,Anza at Agrihood,29160,9624,1469274,840,2,0,Unknown
510,"Plan 4,San Jose, CA 95119",1527431,2,2.5,1466,San Jose,95119,0,Condo,Unknown,Lotus at UrbanOak,29160,7386,1469274,694,2,0,"CondoOnly,MasterPlanned"
511,"Plan 7,San Jose, CA 95119",1527431,4,3.5,2029,San Jose,95119,0,Condo,Unknown,Lotus at UrbanOak,29160,9514,1469274,646,2,0,"CondoOnly,MasterPlanned"
512,"Plan 5,San Jose, CA 95119",1527431,2,3,1690,San Jose,95119,0,Condo,Unknown,Lotus at UrbanOak,29160,8636,1469274,703,2,0,"CondoOnly,MasterPlanned"
513,"Plan 3,San Jose, CA 95119",1527431,2,2,1502,San Jose,95119,0,Condo,Unknown,Lotus at UrbanOak,29160,7255,1469274,665,2,0,"CondoOnly,MasterPlanned"
514,"Plan 1,San Jose, CA 95119",1527431,2,2.5,1291,San Jose,95119,0,Condo,Unknown,Lotus at UrbanOak,29160,7096,1469274,757,2,0,"CondoOnly,MasterPlanned"
515,"Plan 6,San Jose, CA 95119",1527431,3,3.5,1774,San Jose,95119,0,Condo,Unknown,Lotus at UrbanOak,29160,8359,1469274,649,2,0,"CondoOnly,MasterPlanned"
516,"Plan 2,San Jose, CA 95119",1527431,2,2.5,1355,San Jose,95119,0,Condo,Unknown,Lotus at UrbanOak,29160,7226,1469274,734,2,0,"CondoOnly,MasterPlanned"
